Scholarship_ID,Scholarship_Name,Amount,State,Category,Batch,Eligibility_Caste,Eligibility_Gender,Min_Percentage_Required,Course_Applicable,Application_Start_Date,Application_Deadline,Contact_Email
SCH724371,National Research Scholarship for Engineering,100819,West Bengal,Research,2025,ST,Female,79,Any,2025-04-18,2025-06-14,contact@westbengalscholarships.gov.in
SCH274674,Private Women-specific Scholarship for Any,11449,Assam,Women-specific,2025,General,Male,62,Medical,2025-03-10,2025-05-04,contact@assamscholarships.gov.in
SCH109019,State Need-based Scholarship for Medical,46509,Uttar Pradesh,Need-based,2023,ST,All,56,Engineering,2025-04-05,2025-05-20,contact@uttarpradeshscholarships.gov.in
SCH141151,National Merit-based Scholarship for Medical,63269,Andhra Pradesh,Merit-based,2024,ST,Male,60,Science,2025-04-07,2025-06-06,contact@andhrapradeshscholarships.gov.in
SCH535399,State Research Scholarship for Science,199552,Andhra Pradesh,Research,2026,OBC,Male,68,Medical,2025-04-03,2025-06-16,contact@andhrapradeshscholarships.gov.in
SCH337789,Private Sports Scholarship for Commerce,8994,Assam,Sports,2023,General,All,80,Commerce,2025-04-23,2025-06-12,contact@assamscholarships.gov.in
SCH591900,Private Merit-based Scholarship for Engineering,34356,Haryana,Merit-based,2023,OBC,Female,57,Commerce,2025-03-11,2025-05-18,contact@haryanascholarships.gov.in
SCH573589,Private Sports Scholarship for Engineering,45591,Karnataka,Sports,2025,SC,Male,92,Any,2025-03-12,2025-05-07,contact@karnatakascholarships.gov.in
SCH779272,State Need-based Scholarship for Science,27154,Punjab,Need-based,2025,ST,Female,54,Engineering,2025-04-18,2025-06-28,contact@punjabscholarships.gov.in
SCH265876,Private Sports Scholarship for Engineering,9801,Uttar Pradesh,Sports,2025,OBC,Female,54,Medical,2025-04-10,2025-05-23,contact@uttarpradeshscholarships.gov.in
SCH737670,National Minority Scholarship for Science,40600,Rajasthan,Minority,2023,All,Female,92,Engineering,2025-04-21,2025-06-09,contact@rajasthanscholarships.gov.in
SCH42284,National Minority Scholarship for Engineering,41256,Gujarat,Minority,2025,All,Male,95,Arts,2025-03-16,2025-05-02,contact@gujaratscholarships.gov.in
SCH33625,Private Women-specific Scholarship for Arts,38122,Himachal Pradesh,Women-specific,2023,General,All,77,Arts,2025-04-07,2025-05-23,contact@himachalpradeshscholarships.gov.in
SCH236410,State Merit-based Scholarship for Medical,93507,Assam,Merit-based,2026,All,All,77,Commerce,2025-03-23,2025-05-02,contact@assamscholarships.gov.in
SCH655032,National Merit-based Scholarship for Any,29536,Andhra Pradesh,Merit-based,2025,All,All,59,Science,2025-04-10,2025-05-12,contact@andhrapradeshscholarships.gov.in
SCH436041,State Merit-based Scholarship for Arts,15229,Gujarat,Merit-based,2024,OBC,All,56,Arts,2025-05-03,2025-06-24,contact@gujaratscholarships.gov.in
SCH394295,Private Sports Scholarship for Medical,20514,Telangana,Sports,2024,ST,Male,61,Any,2025-05-01,2025-06-10,contact@telanganascholarships.gov.in
SCH622614,Private Research Scholarship for Any,475066,Punjab,Research,2024,General,Female,52,Science,2025-03-22,2025-05-08,contact@punjabscholarships.gov.in
SCH995490,State Need-based Scholarship for Arts,50001,Karnataka,Need-based,2024,OBC,Male,92,Medical,2025-04-28,2025-07-17,contact@karnatakascholarships.gov.in
SCH853050,State Minority Scholarship for Engineering,23292,Tamil Nadu,Minority,2026,All,Female,51,Engineering,2025-03-29,2025-06-08,contact@tamilnaduscholarships.gov.in
SCH305110,Private Need-based Scholarship for Arts,15014,Kerala,Need-based,2026,SC,All,70,Science,2025-03-13,2025-05-20,contact@keralascholarships.gov.in
SCH717723,Private Research Scholarship for Medical,183547,Delhi,Research,2026,General,All,84,Any,2025-03-09,2025-05-23,contact@delhischolarships.gov.in
SCH736672,State Minority Scholarship for Engineering,48531,Himachal Pradesh,Minority,2025,General,All,69,Commerce,2025-05-04,2025-06-24,contact@himachalpradeshscholarships.gov.in
SCH532961,State Women-specific Scholarship for Arts,31371,Maharashtra,Women-specific,2024,OBC,Female,92,Science,2025-04-20,2025-06-07,contact@maharashtrascholarships.gov.in
SCH181492,Private Sports Scholarship for Arts,31612,Haryana,Sports,2023,SC,Female,63,Science,2025-04-11,2025-07-03,contact@haryanascholarships.gov.in
SCH23962,State Research Scholarship for Science,404223,Punjab,Research,2026,OBC,All,55,Arts,2025-03-20,2025-05-21,contact@punjabscholarships.gov.in
SCH568862,National Merit-based Scholarship for Any,50687,Punjab,Merit-based,2024,OBC,Male,52,Medical,2025-03-21,2025-06-10,contact@punjabscholarships.gov.in
SCH418900,National Sports Scholarship for Science,32160,West Bengal,Sports,2024,ST,Female,75,Medical,2025-05-02,2025-07-11,contact@westbengalscholarships.gov.in
SCH811682,Private Women-specific Scholarship for Engineering,11985,Gujarat,Women-specific,2024,OBC,All,83,Science,2025-04-25,2025-06-21,contact@gujaratscholarships.gov.in
SCH59569,National Sports Scholarship for Engineering,34914,Assam,Sports,2026,All,All,88,Arts,2025-03-15,2025-06-04,contact@assamscholarships.gov.in
SCH297937,Private Sports Scholarship for Commerce,32966,Uttar Pradesh,Sports,2026,OBC,All,80,Science,2025-04-29,2025-07-26,contact@uttarpradeshscholarships.gov.in
SCH725794,Private Need-based Scholarship for Arts,78327,Kerala,Need-based,2024,SC,Female,54,Any,2025-04-07,2025-06-16,contact@keralascholarships.gov.in
SCH38901,State Need-based Scholarship for Arts,51904,Maharashtra,Need-based,2023,OBC,Male,64,Science,2025-05-03,2025-07-06,contact@maharashtrascholarships.gov.in
SCH638428,National Women-specific Scholarship for Engineering,32188,Gujarat,Women-specific,2026,ST,Male,63,Science,2025-04-02,2025-05-23,contact@gujaratscholarships.gov.in
SCH556741,Private Sports Scholarship for Engineering,42728,Tamil Nadu,Sports,2023,SC,Female,74,Science,2025-03-31,2025-05-30,contact@tamilnaduscholarships.gov.in
SCH618657,National Research Scholarship for Arts,278503,Karnataka,Research,2026,SC,All,93,Science,2025-04-07,2025-05-08,contact@karnatakascholarships.gov.in
SCH488807,National Research Scholarship for Commerce,330034,Haryana,Research,2026,All,All,92,Engineering,2025-03-08,2025-06-04,contact@haryanascholarships.gov.in
SCH331555,State Women-specific Scholarship for Medical,35257,Bihar,Women-specific,2025,ST,Female,63,Science,2025-03-18,2025-04-20,contact@biharscholarships.gov.in
SCH322275,State Minority Scholarship for Arts,32627,Punjab,Minority,2023,ST,Male,84,Engineering,2025-03-23,2025-06-14,contact@punjabscholarships.gov.in
SCH308022,Private Need-based Scholarship for Engineering,95426,Rajasthan,Need-based,2023,OBC,Male,51,Commerce,2025-03-09,2025-05-26,contact@rajasthanscholarships.gov.in
SCH126294,National Need-based Scholarship for Science,97747,Gujarat,Need-based,2024,ST,All,66,Arts,2025-03-14,2025-05-19,contact@gujaratscholarships.gov.in
SCH985649,Private Sports Scholarship for Any,12506,Haryana,Sports,2024,SC,Male,87,Engineering,2025-04-25,2025-07-16,contact@haryanascholarships.gov.in
SCH32412,Private Sports Scholarship for Science,30995,Maharashtra,Sports,2024,General,All,94,Any,2025-05-06,2025-07-20,contact@maharashtrascholarships.gov.in
SCH799732,Private Merit-based Scholarship for Arts,99687,Karnataka,Merit-based,2023,All,Male,72,Commerce,2025-04-14,2025-07-04,contact@karnatakascholarships.gov.in
SCH440589,State Women-specific Scholarship for Engineering,38158,Telangana,Women-specific,2023,ST,Female,56,Science,2025-04-17,2025-06-07,contact@telanganascholarships.gov.in
SCH624471,State Women-specific Scholarship for Any,15026,Rajasthan,Women-specific,2025,All,All,80,Science,2025-04-03,2025-05-14,contact@rajasthanscholarships.gov.in
SCH296216,Private Women-specific Scholarship for Arts,26122,Telangana,Women-specific,2023,SC,Female,65,Science,2025-04-30,2025-06-14,contact@telanganascholarships.gov.in
SCH717049,National Minority Scholarship for Science,26300,Tamil Nadu,Minority,2024,SC,Female,71,Arts,2025-03-18,2025-05-18,contact@tamilnaduscholarships.gov.in
SCH116797,National Sports Scholarship for Commerce,17521,Kerala,Sports,2026,ST,All,65,Any,2025-03-12,2025-04-26,contact@keralascholarships.gov.in
SCH546644,Private Women-specific Scholarship for Science,34371,West Bengal,Women-specific,2023,SC,Male,75,Any,2025-04-26,2025-05-27,contact@westbengalscholarships.gov.in
SCH468052,Private Minority Scholarship for Commerce,29184,Karnataka,Minority,2025,ST,All,85,Arts,2025-04-06,2025-06-10,contact@karnatakascholarships.gov.in
SCH66910,State Women-specific Scholarship for Arts,25094,Rajasthan,Women-specific,2023,OBC,Female,57,Any,2025-03-23,2025-05-06,contact@rajasthanscholarships.gov.in
SCH266267,National Need-based Scholarship for Any,73464,Haryana,Need-based,2025,General,Male,68,Medical,2025-03-24,2025-06-08,contact@haryanascholarships.gov.in
SCH677552,State Need-based Scholarship for Engineering,80010,Rajasthan,Need-based,2023,General,All,68,Any,2025-03-15,2025-05-01,contact@rajasthanscholarships.gov.in
SCH463007,State Women-specific Scholarship for Engineering,5803,Gujarat,Women-specific,2026,ST,Female,71,Medical,2025-04-12,2025-05-30,contact@gujaratscholarships.gov.in
SCH688654,State Minority Scholarship for Engineering,9282,Assam,Minority,2023,All,All,93,Engineering,2025-04-01,2025-06-01,contact@assamscholarships.gov.in
SCH379420,Private Need-based Scholarship for Arts,21164,Gujarat,Need-based,2026,All,All,89,Medical,2025-03-22,2025-04-28,contact@gujaratscholarships.gov.in
SCH217482,State Research Scholarship for Arts,358556,Tamil Nadu,Research,2023,All,All,56,Medical,2025-04-03,2025-05-22,contact@tamilnaduscholarships.gov.in
SCH211756,Private Minority Scholarship for Engineering,15292,Himachal Pradesh,Minority,2023,OBC,Male,76,Science,2025-03-22,2025-05-02,contact@himachalpradeshscholarships.gov.in
SCH393803,National Minority Scholarship for Medical,23881,West Bengal,Minority,2026,General,All,64,Arts,2025-04-21,2025-06-08,contact@westbengalscholarships.gov.in
SCH564209,National Research Scholarship for Commerce,167864,Himachal Pradesh,Research,2025,OBC,Male,53,Medical,2025-04-17,2025-05-26,contact@himachalpradeshscholarships.gov.in
SCH777922,Private Sports Scholarship for Commerce,23914,Maharashtra,Sports,2026,SC,All,75,Arts,2025-04-04,2025-05-11,contact@maharashtrascholarships.gov.in
SCH326366,National Research Scholarship for Commerce,70898,West Bengal,Research,2025,All,Female,51,Engineering,2025-05-02,2025-06-28,contact@westbengalscholarships.gov.in
SCH830344,Private Women-specific Scholarship for Commerce,6359,Karnataka,Women-specific,2025,All,Male,61,Science,2025-04-24,2025-07-06,contact@karnatakascholarships.gov.in
SCH653674,National Minority Scholarship for Commerce,33566,Uttar Pradesh,Minority,2026,General,Female,72,Science,2025-04-16,2025-07-07,contact@uttarpradeshscholarships.gov.in
SCH809191,Private Minority Scholarship for Engineering,15539,Punjab,Minority,2026,SC,All,75,Commerce,2025-03-28,2025-05-23,contact@punjabscholarships.gov.in
SCH890617,National Research Scholarship for Arts,182329,Assam,Research,2026,All,Male,92,Commerce,2025-03-27,2025-05-03,contact@assamscholarships.gov.in
SCH818448,National Research Scholarship for Medical,321811,Uttar Pradesh,Research,2026,ST,Male,63,Arts,2025-03-30,2025-06-07,contact@uttarpradeshscholarships.gov.in
SCH528766,State Minority Scholarship for Any,36766,Gujarat,Minority,2024,OBC,Female,85,Engineering,2025-03-14,2025-04-14,contact@gujaratscholarships.gov.in
SCH864157,National Merit-based Scholarship for Engineering,70482,Telangana,Merit-based,2024,ST,All,68,Commerce,2025-05-06,2025-06-12,contact@telanganascholarships.gov.in
SCH927516,State Research Scholarship for Science,177785,Kerala,Research,2024,ST,Male,88,Commerce,2025-04-05,2025-06-09,contact@keralascholarships.gov.in
SCH737960,State Merit-based Scholarship for Science,54548,Gujarat,Merit-based,2025,General,Female,69,Commerce,2025-05-05,2025-07-24,contact@gujaratscholarships.gov.in
SCH378133,State Need-based Scholarship for Commerce,73483,West Bengal,Need-based,2026,ST,Female,62,Any,2025-03-29,2025-05-19,contact@westbengalscholarships.gov.in
SCH513990,State Sports Scholarship for Medical,31920,Karnataka,Sports,2026,ST,Female,92,Any,2025-03-09,2025-04-28,contact@karnatakascholarships.gov.in
SCH54533,National Research Scholarship for Medical,313345,Gujarat,Research,2023,ST,Male,83,Science,2025-04-13,2025-06-03,contact@gujaratscholarships.gov.in
SCH424073,National Women-specific Scholarship for Science,47911,Andhra Pradesh,Women-specific,2026,SC,Female,89,Any,2025-03-16,2025-04-19,contact@andhrapradeshscholarships.gov.in
SCH93407,National Women-specific Scholarship for Arts,49194,Tamil Nadu,Women-specific,2026,SC,All,95,Science,2025-04-30,2025-07-03,contact@tamilnaduscholarships.gov.in
SCH272094,National Sports Scholarship for Medical,46363,Assam,Sports,2025,OBC,All,55,Science,2025-04-19,2025-07-16,contact@assamscholarships.gov.in
SCH126215,Private Women-specific Scholarship for Engineering,34076,Delhi,Women-specific,2025,General,Male,70,Engineering,2025-03-17,2025-05-30,contact@delhischolarships.gov.in
SCH396407,State Minority Scholarship for Science,14540,Maharashtra,Minority,2026,All,All,61,Medical,2025-03-22,2025-05-24,contact@maharashtrascholarships.gov.in
SCH628414,Private Merit-based Scholarship for Science,91226,Haryana,Merit-based,2026,All,Male,64,Science,2025-04-19,2025-06-03,contact@haryanascholarships.gov.in
SCH490396,State Research Scholarship for Any,54926,Kerala,Research,2026,SC,All,84,Medical,2025-05-03,2025-07-23,contact@keralascholarships.gov.in
SCH798687,State Research Scholarship for Commerce,206842,Bihar,Research,2025,ST,Female,62,Science,2025-04-16,2025-06-12,contact@biharscholarships.gov.in
SCH350976,National Merit-based Scholarship for Science,84963,West Bengal,Merit-based,2025,SC,Male,92,Science,2025-03-29,2025-06-03,contact@westbengalscholarships.gov.in
SCH489195,Private Merit-based Scholarship for Any,16428,Kerala,Merit-based,2026,SC,Male,88,Arts,2025-05-04,2025-07-11,contact@keralascholarships.gov.in
SCH698977,National Women-specific Scholarship for Commerce,21425,Karnataka,Women-specific,2024,General,All,91,Engineering,2025-04-19,2025-07-06,contact@karnatakascholarships.gov.in
SCH308808,National Research Scholarship for Commerce,241292,Maharashtra,Research,2023,SC,Female,76,Medical,2025-04-22,2025-05-30,contact@maharashtrascholarships.gov.in
SCH604703,Private Need-based Scholarship for Arts,79579,Himachal Pradesh,Need-based,2025,OBC,Female,80,Arts,2025-04-08,2025-07-05,contact@himachalpradeshscholarships.gov.in
SCH431436,State Merit-based Scholarship for Engineering,28449,Punjab,Merit-based,2026,All,Female,55,Science,2025-04-24,2025-06-07,contact@punjabscholarships.gov.in
SCH804013,Private Minority Scholarship for Engineering,34804,Andhra Pradesh,Minority,2025,All,Female,90,Arts,2025-03-30,2025-06-11,contact@andhrapradeshscholarships.gov.in
SCH136013,National Women-specific Scholarship for Science,6640,Delhi,Women-specific,2025,All,Male,91,Engineering,2025-04-15,2025-07-10,contact@delhischolarships.gov.in
SCH758023,State Women-specific Scholarship for Any,31758,Uttar Pradesh,Women-specific,2023,General,Female,81,Engineering,2025-03-14,2025-04-21,contact@uttarpradeshscholarships.gov.in
SCH491598,Private Need-based Scholarship for Medical,60940,Delhi,Need-based,2026,All,All,59,Science,2025-04-05,2025-05-28,contact@delhischolarships.gov.in
SCH585272,Private Research Scholarship for Science,196664,Delhi,Research,2025,OBC,Female,78,Medical,2025-03-09,2025-05-22,contact@delhischolarships.gov.in
SCH942457,Private Merit-based Scholarship for Arts,81364,Rajasthan,Merit-based,2025,General,Female,67,Medical,2025-05-03,2025-07-13,contact@rajasthanscholarships.gov.in
SCH958798,National Research Scholarship for Any,161204,Delhi,Research,2023,General,Female,65,Medical,2025-04-17,2025-06-26,contact@delhischolarships.gov.in
SCH441167,Private Merit-based Scholarship for Medical,86858,Himachal Pradesh,Merit-based,2024,SC,Male,88,Engineering,2025-03-20,2025-06-10,contact@himachalpradeshscholarships.gov.in
SCH381775,National Need-based Scholarship for Commerce,42853,Kerala,Need-based,2023,General,Male,50,Arts,2025-04-27,2025-06-07,contact@keralascholarships.gov.in
SCH499144,State Sports Scholarship for Engineering,16419,Karnataka,Sports,2024,ST,All,57,Any,2025-03-23,2025-04-25,contact@karnatakascholarships.gov.in
SCH891886,State Research Scholarship for Arts,319084,Bihar,Research,2026,All,Male,89,Engineering,2025-04-13,2025-05-19,contact@biharscholarships.gov.in
SCH30067,Private Research Scholarship for Engineering,81890,Maharashtra,Research,2026,ST,All,56,Science,2025-04-06,2025-06-29,contact@maharashtrascholarships.gov.in
SCH12053,National Merit-based Scholarship for Arts,89730,Uttar Pradesh,Merit-based,2024,SC,All,90,Commerce,2025-03-16,2025-04-19,contact@uttarpradeshscholarships.gov.in
SCH918204,Private Research Scholarship for Commerce,204611,Punjab,Research,2026,General,All,57,Any,2025-04-05,2025-06-06,contact@punjabscholarships.gov.in
SCH806319,State Research Scholarship for Medical,266957,Himachal Pradesh,Research,2026,ST,Female,56,Arts,2025-03-28,2025-06-18,contact@himachalpradeshscholarships.gov.in
SCH933439,Private Minority Scholarship for Arts,29530,Telangana,Minority,2026,General,Male,55,Engineering,2025-03-16,2025-05-28,contact@telanganascholarships.gov.in
SCH249514,Private Merit-based Scholarship for Any,58843,Telangana,Merit-based,2023,All,All,85,Arts,2025-04-27,2025-06-04,contact@telanganascholarships.gov.in
SCH240933,State Research Scholarship for Any,443365,Delhi,Research,2023,SC,All,69,Arts,2025-04-03,2025-06-27,contact@delhischolarships.gov.in
SCH143905,Private Sports Scholarship for Medical,15140,Delhi,Sports,2024,General,Female,85,Arts,2025-04-18,2025-06-17,contact@delhischolarships.gov.in
SCH140914,Private Minority Scholarship for Medical,33122,Delhi,Minority,2023,All,All,94,Arts,2025-04-30,2025-07-04,contact@delhischolarships.gov.in
SCH454949,State Need-based Scholarship for Any,50499,Andhra Pradesh,Need-based,2025,General,Male,59,Commerce,2025-05-04,2025-06-24,contact@andhrapradeshscholarships.gov.in
SCH864859,National Merit-based Scholarship for Any,92991,Tamil Nadu,Merit-based,2024,ST,Female,79,Arts,2025-03-08,2025-04-12,contact@tamilnaduscholarships.gov.in
SCH393876,State Minority Scholarship for Any,26258,Haryana,Minority,2023,General,Male,60,Commerce,2025-04-25,2025-07-24,contact@haryanascholarships.gov.in
SCH11401,National Women-specific Scholarship for Arts,34039,Assam,Women-specific,2026,All,Female,76,Arts,2025-04-18,2025-06-14,contact@assamscholarships.gov.in
SCH977973,National Sports Scholarship for Arts,33174,Himachal Pradesh,Sports,2026,All,All,69,Engineering,2025-03-14,2025-05-01,contact@himachalpradeshscholarships.gov.in
SCH242094,Private Research Scholarship for Engineering,54030,Karnataka,Research,2024,OBC,Female,68,Arts,2025-03-20,2025-05-08,contact@karnatakascholarships.gov.in
SCH116328,State Merit-based Scholarship for Any,66446,Delhi,Merit-based,2026,All,All,64,Commerce,2025-03-18,2025-04-25,contact@delhischolarships.gov.in
SCH386128,State Merit-based Scholarship for Any,15544,Rajasthan,Merit-based,2026,General,Female,86,Science,2025-04-03,2025-05-04,contact@rajasthanscholarships.gov.in
SCH392636,Private Women-specific Scholarship for Science,23973,Tamil Nadu,Women-specific,2023,SC,Male,89,Science,2025-03-14,2025-05-08,contact@tamilnaduscholarships.gov.in
SCH697691,State Merit-based Scholarship for Engineering,41891,Rajasthan,Merit-based,2026,All,Male,75,Arts,2025-04-03,2025-06-09,contact@rajasthanscholarships.gov.in
SCH535010,State Need-based Scholarship for Medical,20011,Punjab,Need-based,2023,All,All,62,Arts,2025-04-08,2025-06-17,contact@punjabscholarships.gov.in
SCH171860,Private Women-specific Scholarship for Medical,20484,Rajasthan,Women-specific,2025,OBC,Male,88,Medical,2025-03-13,2025-04-21,contact@rajasthanscholarships.gov.in
SCH315210,Private Need-based Scholarship for Science,70811,Bihar,Need-based,2026,All,All,90,Commerce,2025-04-24,2025-06-29,contact@biharscholarships.gov.in
SCH820968,State Women-specific Scholarship for Medical,33820,Punjab,Women-specific,2026,SC,Female,87,Engineering,2025-03-11,2025-05-10,contact@punjabscholarships.gov.in
SCH642641,National Sports Scholarship for Arts,35260,Rajasthan,Sports,2023,SC,Female,54,Any,2025-04-04,2025-05-06,contact@rajasthanscholarships.gov.in
SCH80839,Private Sports Scholarship for Commerce,30197,Bihar,Sports,2023,ST,All,91,Medical,2025-04-05,2025-06-11,contact@biharscholarships.gov.in
SCH375807,State Sports Scholarship for Commerce,14886,Punjab,Sports,2023,SC,All,55,Commerce,2025-03-10,2025-05-07,contact@punjabscholarships.gov.in
SCH561489,National Merit-based Scholarship for Any,67377,Haryana,Merit-based,2024,SC,Female,68,Science,2025-04-04,2025-06-06,contact@haryanascholarships.gov.in
SCH627374,Private Minority Scholarship for Commerce,8431,Telangana,Minority,2025,General,Female,56,Commerce,2025-04-26,2025-07-05,contact@telanganascholarships.gov.in
SCH891677,State Minority Scholarship for Any,48028,Tamil Nadu,Minority,2024,SC,Male,87,Any,2025-05-04,2025-07-11,contact@tamilnaduscholarships.gov.in
SCH562778,State Minority Scholarship for Any,48393,Gujarat,Minority,2023,SC,All,74,Any,2025-04-01,2025-05-09,contact@gujaratscholarships.gov.in
SCH742195,Private Need-based Scholarship for Any,99838,Punjab,Need-based,2023,ST,All,73,Engineering,2025-05-04,2025-07-06,contact@punjabscholarships.gov.in
SCH70332,National Minority Scholarship for Medical,27395,Rajasthan,Minority,2026,OBC,Male,58,Medical,2025-05-06,2025-07-24,contact@rajasthanscholarships.gov.in
SCH684105,National Minority Scholarship for Commerce,40374,Bihar,Minority,2023,SC,All,58,Commerce,2025-04-29,2025-07-15,contact@biharscholarships.gov.in
SCH180343,National Need-based Scholarship for Medical,91885,Tamil Nadu,Need-based,2024,ST,Male,76,Arts,2025-04-27,2025-07-23,contact@tamilnaduscholarships.gov.in
SCH519332,Private Research Scholarship for Arts,444469,Karnataka,Research,2026,OBC,All,65,Arts,2025-04-23,2025-07-12,contact@karnatakascholarships.gov.in
SCH126790,State Need-based Scholarship for Any,84766,West Bengal,Need-based,2025,ST,All,83,Science,2025-04-04,2025-06-02,contact@westbengalscholarships.gov.in
SCH690557,Private Need-based Scholarship for Medical,42768,Haryana,Need-based,2026,SC,All,56,Any,2025-03-10,2025-05-20,contact@haryanascholarships.gov.in
SCH196213,National Minority Scholarship for Medical,22877,Delhi,Minority,2024,ST,Male,64,Science,2025-04-04,2025-06-30,contact@delhischolarships.gov.in
SCH114874,State Merit-based Scholarship for Engineering,61964,Rajasthan,Merit-based,2024,ST,Male,73,Medical,2025-04-08,2025-05-31,contact@rajasthanscholarships.gov.in
SCH522986,National Minority Scholarship for Any,47595,Andhra Pradesh,Minority,2024,OBC,Male,68,Science,2025-03-28,2025-06-16,contact@andhrapradeshscholarships.gov.in
SCH886546,State Women-specific Scholarship for Science,45327,Gujarat,Women-specific,2023,General,Female,63,Medical,2025-03-07,2025-06-02,contact@gujaratscholarships.gov.in
SCH739426,State Merit-based Scholarship for Medical,49472,Telangana,Merit-based,2024,ST,All,89,Science,2025-03-14,2025-04-16,contact@telanganascholarships.gov.in
SCH101191,State Merit-based Scholarship for Commerce,80261,Bihar,Merit-based,2024,OBC,Female,77,Engineering,2025-03-08,2025-05-17,contact@biharscholarships.gov.in
SCH24728,Private Need-based Scholarship for Science,34551,Rajasthan,Need-based,2023,All,Female,54,Commerce,2025-04-18,2025-06-29,contact@rajasthanscholarships.gov.in
SCH531502,State Research Scholarship for Engineering,383274,Andhra Pradesh,Research,2025,General,Female,54,Arts,2025-03-31,2025-05-23,contact@andhrapradeshscholarships.gov.in
SCH172609,Private Women-specific Scholarship for Any,11793,Karnataka,Women-specific,2025,OBC,Male,72,Commerce,2025-04-25,2025-07-01,contact@karnatakascholarships.gov.in
SCH180044,National Women-specific Scholarship for Any,35449,Punjab,Women-specific,2024,OBC,Male,95,Science,2025-04-20,2025-06-19,contact@punjabscholarships.gov.in
SCH117742,National Minority Scholarship for Engineering,18072,Assam,Minority,2025,SC,All,75,Commerce,2025-05-02,2025-06-03,contact@assamscholarships.gov.in
SCH11287,National Minority Scholarship for Any,17524,West Bengal,Minority,2023,SC,Female,57,Arts,2025-03-25,2025-05-16,contact@westbengalscholarships.gov.in
SCH6178,Private Research Scholarship for Science,252713,Telangana,Research,2026,ST,Female,83,Arts,2025-03-28,2025-05-08,contact@telanganascholarships.gov.in
